"","geoid_shape","geottl_shape","state","geoid_trade","geottl_trade"
"1",36091,"Albany-Schenectady, NY  CFS Area",36,"E330000US3610400000","Albany-Schenectady, NY CFS Area; New York"
"2",13171,"Atlanta-Athens-Clarke County-Sandy Springs, GA  CFS Area",13,"E330000US1312200000","Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area; Georgia"
"3",48055,"Austin-Round Rock, TX  CFS Area",48,"E330000US4899912420","Austin-Round Rock, TX CFS Area; Texas"
"4",24510,"Baltimore-Columbia-Towson, MD  CFS Area",24,"E330000US2454812580","Baltimore-Columbia-Towson, MD CFS Area; Maryland"
"5",22037,"Baton Rouge, LA  CFS Area",22,"E330000US2299912940","Baton Rouge, LA CFS Area; Louisiana"
"6",48361,"Beaumont-Port Arthur, TX  CFS Area",48,"E330000US4899913140","Beaumont-Port Arthur, TX CFS Area; Texas"
"7",1009,"Birmingham-Hoover-Talladega, AL  CFS Area",1,"E330000US0114200000","Birmingham-Hoover-Talladega, AL CFS Area; Alabama"
"8",25025,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (MA Part)",25,"E330000US2514800000","Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (MA Part); Massachusetts"
"9",33013,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)",33,"E330000US3314800000","Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (NH Part); New Hampshire"
"10",44009,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (RI Part)",44,"E330000US4414800000","Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (RI Part); Rhode Island"
"11",36029,"Buffalo-Cheektowaga, NY  CFS Area",36,"E330000US3616000000","Buffalo-Cheektowaga, NY CFS Area; New York"
"12",45035,"Charleston-North Charleston, SC  CFS Area",45,"E330000US4599916700","Charleston-North Charleston, SC CFS Area; South Carolina"
"13",37109,"Charlotte-Concord, NC-SC  CFS Area  (NC Part)",37,"E330000US3717200000","Charlotte-Concord, NC-SC CFS Area (NC Part); North Carolina"
"14",17011,"Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)",17,"E330000US1717600000","Chicago-Naperville, IL-IN-WI CFS Area (IL Part); Illinois"
"15",18073,"Chicago-Naperville, IL-IN-WI  CFS Area (IN Part)",18,"E330000US1817600000","Chicago-Naperville, IL-IN-WI CFS Area (IN Part); Indiana"
"16",21077,"Cincinnati-Wilmington-Maysville, OH-KY-IN  CFS Area (KY Part)",21,"E330000US2117800000","Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (KY Part); Kentucky"
"17",39017,"Cincinnati-Wilmington-Maysville, OH-KY-IN  CFS Area (OH Part)",39,"E330000US3917800000","Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (OH Part); Ohio"
"18",39085,"Cleveland-Akron-Canton, OH  CFS Area",39,"E330000US3918400000","Cleveland-Akron-Canton, OH CFS Area; Ohio"
"19",39047,"Columbus-Marion-Zanesville, OH  CFS Area",39,"E330000US3919800000","Columbus-Marion-Zanesville, OH CFS Area; Ohio"
"20",48007,"Corpus Christi-Kingsville-Alice, TX  CFS Area",48,"E330000US4820400000","Corpus Christi-Kingsville-Alice, TX CFS Area; Texas"
"21",48147,"Dallas-Fort Worth, TX-OK  CFS Area (TX Part)",48,"E330000US4820600000","Dallas-Fort Worth, TX-OK CFS Area (TX Part); Texas"
"22",39021,"Dayton-Springfield-Sidney, OH  CFS Area",39,"E330000US3921200000","Dayton-Springfield-Sidney, OH CFS Area; Ohio"
"23",8093,"Denver-Aurora, CO  CFS Area",8,"E330000US0821600000","Denver-Aurora, CO CFS Area; Colorado"
"24",26163,"Detroit-Warren-Ann Arbor, MI  CFS Area",26,"E330000US2622000000","Detroit-Warren-Ann Arbor, MI CFS Area; Michigan"
